Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
1/07/2014,168792,0.866604372,25982,0.133395628,194774
7/07/2014,160789,0.847989579,28823,0.152010421,189612
14/07/2014,164407,0.847000335,29698,0.152999665,194105
21/07/2014,253767,0.880071996,34581,0.119928004,288348
28/07/2014,255553,0.884921707,33233,0.115078293,288786
4/08/2014,257387,0.88487455,33487,0.11512545,290874
11/08/2014,251260,0.884777503,32721,0.115222497,283981
18/08/2014,258418,0.887278196,32830,0.112721804,291248
25/08/2014,255843,0.887964515,32280,0.112035485,288123
1/09/2014,250339,0.888312859,31475,0.111687141,281814
8/09/2014,246161,0.884446792,32161,0.115553208,278322
15/09/2014,249188,0.882293791,33244,0.117706209,282432
22/09/2014,254111,0.875022813,36294,0.124977187,290405
29/09/2014,159249,0.84563427,29070,0.15436573,188319
6/10/2014,165097,0.855562292,27872,0.144437708,192969
13/10/2014,259052,0.887638601,32792,0.112361399,291844
20/10/2014,262227,0.886821805,33466,0.113178195,295693
27/10/2014,262613,0.888869709,32833,0.111130291,295446
3/11/2014,256363,0.887453051,32512,0.112546949,288875
10/11/2014,254162,0.88480806,33089,0.11519194,287251
17/11/2014,254683,0.881817489,34133,0.118182511,288816
24/11/2014,242510,0.88090637,32786,0.11909363,275296
1/12/2014,232947,0.874307526,33489,0.125692474,266436
8/12/2014,213436,0.866062878,33008,0.133937122,246444
15/12/2014,185028,0.851792176,32194,0.148207824,217222
22/12/2014,79986,0.818790435,17702,0.181209565,97688
29/12/2014,62808,0.77161601,18590,0.22838399,81398
5/01/2015,140584,0.851348323,24547,0.148651677,165131
12/01/2015,160070,0.854832766,27183,0.145167234,187253
19/01/2015,162860,0.85521341,27572,0.14478659,190432
26/01/2015,142300,0.853993002,24329,0.146006998,166629
2/02/2015,241869,0.879418106,33164,0.120581894,275033
9/02/2015,274609,0.876779203,38593,0.123220797,313202
16/02/2015,277055,0.891568785,33695,0.108431215,310750
23/02/2015,286548,0.891024086,35046,0.108975914,321594
2/03/2015,276362,0.893210473,33041,0.106789527,309403
9/03/2015,239088,0.887529419,30298,0.112470581,269386
16/03/2015,279559,0.897679691,31865,0.102320309,311424
23/03/2015,278020,0.898583701,31378,0.101416299,309398
30/03/2015,220488,0.892356881,26597,0.107643119,247085
6/04/2015,208006,0.881620439,27930,0.118379561,235936
13/04/2015,183107,0.869681066,27438,0.130318934,210545
20/04/2015,185665,0.870318286,27665,0.129681714,213330
27/04/2015,222398,0.888483173,27914,0.111516827,250312
4/05/2015,268341,0.894854788,31530,0.105145212,299871
11/05/2015,268639,0.897998683,30514,0.102001317,299153
18/05/2015,264629,0.89807644,30033,0.10192356,294662
25/05/2015,264542,0.900648228,29182,0.099351772,293724
1/06/2015,254434,0.899129968,28544,0.100870032,282978
8/06/2015,216925,0.894901424,25476,0.105098576,242401
15/06/2015,245781,0.898059778,27899,0.101940222,273680
22/06/2015,240213,0.89551521,28027,0.10448479,268240
29/06/2015,81096,0.90119684,8891,0.09880316,89987
1/07/2015,132598,0.882339633,17682,0.117660367,150280
6/07/2015,164804,0.869531266,24728,0.130468734,189532
13/07/2015,170161,0.866170871,26291,0.133829129,196452
20/07/2015,256595,0.897028492,29455,0.102971508,286050
27/07/2015,264173,0.900363659,29234,0.099636341,293407
3/08/2015,262554,0.903035639,28192,0.096964361,290746
10/08/2015,257484,0.899865798,28652,0.100134202,286136
17/08/2015,262445,0.90340647,28061,0.09659353,290506
24/08/2015,259351,0.903995901,27543,0.096004099,286894
31/08/2015,262650,0.904744353,27653,0.095255647,290303
7/09/2015,255369,0.898430546,28870,0.101569454,284239
14/09/2015,257216,0.894141858,30452,0.105858142,287668
21/09/2015,258787,0.889183237,32252,0.110816763,291039
28/09/2015,162012,0.858028059,26807,0.141971941,188819
5/10/2015,163885,0.865865707,25388,0.134134293,189273
12/10/2015,264659,0.89757512,30201,0.10242488,294860
19/10/2015,263720,0.899049541,29612,0.100950459,293332
26/10/2015,262836,0.900157198,29153,0.099842802,291989
2/11/2015,255681,0.898734578,28809,0.101265422,284490
9/11/2015,253311,0.899736804,28228,0.100263196,281539
16/11/2015,254623,0.895478348,29720,0.104521652,284343
23/11/2015,245728,0.894379192,29019,0.105620808,274747
30/11/2015,238922,0.89062931,29340,0.10937069,268262
7/12/2015,219439,0.881500615,29499,0.118499385,248938
14/12/2015,196723,0.871759534,28939,0.128240466,225662
21/12/2015,105865,0.848882617,18846,0.151117383,124711
28/12/2015,55940,0.798287549,14135,0.201712451,70075
4/01/2016,134735,0.855911369,22682,0.144088631,157417
11/01/2016,157169,0.868908288,23712,0.131091712,180881
18/01/2016,164047,0.868451423,24849,0.131548577,188896
25/01/2016,137665,0.862487,21949,0.137513,159614
1/02/2016,245740,0.889540461,30515,0.110459539,276255
8/02/2016,278923,0.885745407,35979,0.114254593,314902
15/02/2016,293277,0.90068916,32337,0.09931084,325614
22/02/2016,292773,0.904008201,31088,0.095991799,323861
29/02/2016,288557,0.905634855,30067,0.094365145,318624
7/03/2016,291630,0.906434839,30103,0.093565161,321733
14/03/2016,247565,0.901117821,27166,0.098882179,274731
21/03/2016,234047,0.901755373,25499,0.098244627,259546
28/03/2016,237385,0.899209449,26608,0.100790551,263993
4/04/2016,265451,0.900853848,29215,0.099146152,294666
11/04/2016,194901,0.880112892,26549,0.119887108,221450
18/04/2016,204819,0.883438361,27024,0.116561639,231843
25/04/2016,238437,0.900782017,26263,0.099217983,264700
2/05/2016,281900,0.910012396,27876,0.089987604,309776
9/05/2016,278027,0.911259185,27075,0.088740815,305102
16/05/2016,276788,0.910136559,27329,0.089863441,304117
23/05/2016,271118,0.912449686,26014,0.087550314,297132
30/05/2016,262921,0.914307473,24642,0.085692527,287563
6/06/2016,261545,0.91057689,25685,0.08942311,287230
13/06/2016,214907,0.902132893,23314,0.097867107,238221
20/06/2016,242631,0.908903948,24318,0.091096052,266949
27/06/2016,214832,0.905157958,22510,0.094842042,237342
4/07/2016,170130,0.8829345,22557,0.1170655,192687
11/07/2016,179596,0.881725392,24091,0.118274608,203687
18/07/2016,271885,0.908964779,27230,0.091035221,299115
25/07/2016,277826,0.91559396,25612,0.08440604,303438
1/08/2016,275539,0.914928659,25620,0.085071341,301159
8/08/2016,270668,0.913702774,25564,0.086297226,296232
15/08/2016,274086,0.91429048,25694,0.08570952,299780
22/08/2016,272925,0.916246185,24948,0.083753815,297873
29/08/2016,268884,0.917912129,24046,0.082087871,292930
5/09/2016,260095,0.914918989,24187,0.085081011,284282
12/09/2016,256982,0.910166958,25364,0.089833042,282346
19/09/2016,265369,0.906819712,27268,0.093180288,292637
26/09/2016,166300,0.878713264,22954,0.121286736,189254
3/10/2016,172979,0.882789136,22967,0.117210864,195946
10/10/2016,277802,0.908862491,27857,0.091137509,305659
17/10/2016,273113,0.911744283,26437,0.088255717,299550
24/10/2016,272962,0.912696608,26110,0.087303392,299072
31/10/2016,266710,0.911249599,25976,0.088750401,292686
7/11/2016,265988,0.908860422,26673,0.091139578,292661
14/11/2016,268197,0.908344877,27062,0.091655123,295259
21/11/2016,254330,0.904297306,26916,0.095702694,281246
28/11/2016,248409,0.897901719,28246,0.102098281,276655
5/12/2016,227061,0.892507311,27347,0.107492689,254408
12/12/2016,204247,0.886442546,26165,0.113557454,230412
19/12/2016,147755,0.872508784,21590,0.127491216,169345
26/12/2016,61641,0.809149383,14539,0.190850617,76180
2/01/2017,116585,0.851812343,20282,0.148187657,136867
9/01/2017,162608,0.880590064,22050,0.119409936,184658
16/01/2017,169780,0.885068317,22047,0.114931683,191827
23/01/2017,145416,0.878126547,20182,0.121873453,165598
30/01/2017,248724,0.903826447,26466,0.096173553,275190
6/02/2017,270115,0.908936425,27062,0.091063575,297177
13/02/2017,289019,0.909259364,28843,0.090740636,317862
20/02/2017,309304,0.916423712,28208,0.083576288,337512
27/02/2017,311127,0.919704987,27163,0.080295013,338290
6/03/2017,302657,0.915749375,27845,0.084250625,330502
13/03/2017,261551,0.91260581,25047,0.08739419,286598
20/03/2017,304908,0.920204739,26440,0.079795261,331348
27/03/2017,306087,0.921568509,26050,0.078431491,332137
3/04/2017,281205,0.916846261,25504,0.083153739,306709
10/04/2017,153348,0.892788319,18415,0.107211681,171763
17/04/2017,184512,0.896773284,21239,0.103226716,205751
24/04/2017,229783,0.912789936,21954,0.087210064,251737
1/05/2017,296120,0.919304716,25993,0.080695284,322113
